id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
draft_22951_00387		C9H12N2O	7.111000000000001		missing SMILES		
draft_22951_00388		C12H13N3	7.114		missing SMILES		
draft_22951_00389		C12H22N2O	7.114		missing SMILES		
draft_22951_00390		C6H15N	7.121		missing SMILES		
draft_22951_00391		C7H11NO2	7.121		missing SMILES		
draft_22951_00392		C15H24N4O3	7.123		missing SMILES		
draft_22951_00393		C6H15N	7.123500000000001		missing SMILES		
draft_22951_00395		C9H6N4	7.132000000000001		missing SMILES		
draft_22951_00396		C8H8O4	7.134		missing SMILES		
draft_22951_00397		C8H18N2	7.142		missing SMILES		
draft_22951_00398		C10H17NO	7.153499999999999		missing SMILES		
draft_22951_00399		C3H5N5	7.155		missing SMILES		
draft_22951_00400		C12H12N10	7.155		missing SMILES		
draft_22951_00401		C8H20N2	7.162999999999999		missing SMILES		
draft_22951_00402		C7H7N5O2S	7.173		missing SMILES		
draft_22951_00403		C6H13N5S	7.174		missing SMILES		
draft_22951_00405		C10H24N2	7.194		missing SMILES		
draft_22951_00406		C7H18N2	7.194		missing SMILES		
draft_22951_00407		C10H22N2	7.194		missing SMILES		
draft_22951_00408		C14H28N2O	7.194		missing SMILES		
draft_22951_00409		C12H19N3	7.194500000000001		missing SMILES		
draft_22951_00410		C8H20N2	7.204		missing SMILES		
draft_22951_00412		C6H14N4S3	7.213999999999999		missing SMILES		
draft_22951_00413		C10H13N5O3	7.213999999999999		missing SMILES		
draft_22951_00414		C12H9NO6	7.213999999999999		missing SMILES		
draft_22951_00415		C8H14N4O	7.215		missing SMILES		
draft_22951_00416		C13H14N2	7.225		missing SMILES		
draft_22951_00417		C10H16N2	7.225		missing SMILES		
draft_22951_00418		C9H12N2O2	7.235		missing SMILES		
draft_22951_00419		C13H14N4O	7.235		missing SMILES		
draft_22951_00420		C8H6N2OS	7.235		missing SMILES		
draft_22951_00421		C8H17NO	7.236000000000001		missing SMILES		
draft_22951_00422		C10H15N5O2	7.245999999999999		missing SMILES		
draft_22951_00423		C7H15NO2	7.25		missing SMILES		
draft_22951_00424		C8H18N4O2	7.255		missing SMILES		
draft_22951_00425		C12H11NO3S	7.255		missing SMILES		
draft_22951_00426		C8H9N	7.256		missing SMILES		
